number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_gaussian_noise,params_hidden_size,params_lr,params_scale_target,params_scaler,params_weight_decay,state
0,176.4409637451172,2026-01-20 17:07:19.668194,2026-01-20 17:07:22.809061,0 days 00:00:03.140867,mish,0.1855168696274495,0.019388068367976963,31,0.04486096090715905,True,standard,2.0922851365015864e-05,COMPLETE
1,200.98219299316406,2026-01-20 17:07:22.813850,2026-01-20 17:07:25.012253,0 days 00:00:02.198403,silu,0.12391416669459475,0.07420930624100551,30,0.005100097130477121,True,minmax,0.0001127995274044097,COMPLETE
2,374.98527343750004,2026-01-20 17:07:25.016014,2026-01-20 17:07:27.108179,0 days 00:00:02.092165,silu,0.1963638596249509,0.04447463203102552,30,2.7495268572938703e-05,False,minmax,3.124542410404125e-05,COMPLETE
3,192.54080200195312,2026-01-20 17:07:27.112202,2026-01-20 17:07:29.436231,0 days 00:00:02.324029,relu,0.3202174428014625,0.06195115816716963,38,0.0021278732094020766,True,standard,0.00011007308305057873,COMPLETE
4,220.2893829345703,2026-01-20 17:07:29.440639,2026-01-20 17:07:31.681028,0 days 00:00:02.240389,silu,0.3454210421230609,0.0467512487649308,60,0.0002399232366798736,True,robust,0.000333785887576073,COMPLETE
5,179.59756469726562,2026-01-20 17:07:31.686563,2026-01-20 17:07:34.102798,0 days 00:00:02.416235,silu,0.1550134391318909,0.05636612118729391,46,0.08503324468578018,True,robust,9.680053755265293e-06,COMPLETE
6,373.37384155273435,2026-01-20 17:07:34.115049,2026-01-20 17:07:36.506452,0 days 00:00:02.391403,mish,0.31802202818057185,0.00373132406073734,16,6.15844017032669e-05,False,minmax,1.2164753943489103e-06,COMPLETE
7,368.4969812011718,2026-01-20 17:07:36.510641,2026-01-20 17:07:38.746547,0 days 00:00:02.235906,silu,0.11462251262387167,0.03247090511299277,56,9.823605936587577e-05,False,robust,2.5409339415941257e-06,COMPLETE
8,208.3221893310547,2026-01-20 17:07:38.751174,2026-01-20 17:07:40.986028,0 days 00:00:02.234854,mish,0.2831029013132379,0.05209439574011402,21,0.0006932461335389443,True,none,3.352670835380042e-05,COMPLETE
9,200.6859130859375,2026-01-20 17:07:40.990458,2026-01-20 17:07:43.205200,0 days 00:00:02.214742,mish,0.28393647228740354,0.03664026046329429,18,0.000825374425104202,True,standard,1.6650533666909185e-05,COMPLETE
10,376.05487792968745,2026-01-20 17:07:43.209050,2026-01-20 17:07:45.272479,0 days 00:00:02.063429,gelu,0.46563741389646557,0.09724630438945488,23,1.0813386391439907e-05,False,standard,0.00069984495834392,COMPLETE
11,162.2245330810547,2026-01-20 17:07:45.276263,2026-01-20 17:07:47.575147,0 days 00:00:02.298884,relu,0.1958271797531713,0.01835844828344184,42,0.09915944693717425,True,robust,6.864281189147699e-06,COMPLETE
12,184.52200317382812,2026-01-20 17:07:47.578938,2026-01-20 17:07:50.048050,0 days 00:00:02.469112,relu,0.21123198075531868,0.012736158784592742,40,0.09085272565064709,True,none,6.101253858906327e-06,COMPLETE
13,180.24085998535156,2026-01-20 17:07:50.052014,2026-01-20 17:07:52.308664,0 days 00:00:02.256650,relu,0.22167294725807823,0.02106089280010701,26,0.021892813294959495,True,robust,4.2637662352296435e-06,COMPLETE
14,179.14035034179688,2026-01-20 17:07:52.312161,2026-01-20 17:07:54.769764,0 days 00:00:02.457603,gelu,0.40165705901836085,0.025397920098234158,36,0.02174434301013217,True,standard,5.068685662344027e-05,COMPLETE
15,176.1508331298828,2026-01-20 17:07:54.774341,2026-01-20 17:07:57.248406,0 days 00:00:02.474065,relu,0.24395935256385418,0.0012538026126011556,48,0.032548161061780476,True,robust,1.0861206405382078e-05,COMPLETE
16,182.77536010742188,2026-01-20 17:07:57.252310,2026-01-20 17:07:59.553738,0 days 00:00:02.301428,relu,0.2453559604229905,0.005491952736048238,47,0.010212183539270642,True,robust,1.6206176361251815e-06,COMPLETE
17,178.3833465576172,2026-01-20 17:07:59.557878,2026-01-20 17:08:01.750384,0 days 00:00:02.192506,relu,0.3789844985972861,0.0005373490429145268,51,0.024488820603527247,True,robust,9.12845622253493e-06,COMPLETE
18,355.0425231933594,2026-01-20 17:08:01.754564,2026-01-20 17:08:03.888427,0 days 00:00:02.133863,relu,0.16200781516395604,0.014602546905609179,42,0.00024076691691639874,False,robust,3.496016578819653e-06,COMPLETE
19,183.1597137451172,2026-01-20 17:08:03.892537,2026-01-20 17:08:06.046541,0 days 00:00:02.154004,relu,0.25576116080035805,0.0323277650235849,54,0.009007529177983172,True,robust,7.772605548283555e-05,COMPLETE
20,186.5644989013672,2026-01-20 17:08:06.050463,2026-01-20 17:08:08.365462,0 days 00:00:02.314999,relu,0.4928205153698041,0.0683284043470194,47,0.04525645590152938,True,none,1.063672505932571e-05,COMPLETE
21,177.04637145996094,2026-01-20 17:08:08.369554,2026-01-20 17:08:10.776265,0 days 00:00:02.406711,mish,0.1753101756636794,0.015006063621182883,34,0.043036058608952384,True,standard,2.093336196269491e-05,COMPLETE
22,176.25601196289062,2026-01-20 17:08:10.780234,2026-01-20 17:08:13.107872,0 days 00:00:02.327638,mish,0.23956875794761603,0.023184761664255368,32,0.050178972098436,True,standard,1.6886791262509047e-05,COMPLETE
23,176.005615234375,2026-01-20 17:08:13.111436,2026-01-20 17:08:15.264991,0 days 00:00:02.153555,gelu,0.2520089921554512,0.00874095678767244,26,0.09689282982823946,True,robust,5.73767694101399e-06,COMPLETE
24,177.09835815429688,2026-01-20 17:08:15.269249,2026-01-20 17:08:17.424682,0 days 00:00:02.155433,gelu,0.2654407799121012,0.009688659615468734,26,0.0978285692490262,True,robust,5.535486186175228e-06,COMPLETE
25,180.62875366210938,2026-01-20 17:08:17.428481,2026-01-20 17:08:19.661100,0 days 00:00:02.232619,gelu,0.13428570776799226,0.0012831721871238433,64,0.03035238355644802,True,robust,2.1305186438551748e-06,COMPLETE
26,267.86256042480466,2026-01-20 17:08:19.665721,2026-01-20 17:08:21.896053,0 days 00:00:02.230332,gelu,0.2204610931700427,0.007983380300938288,43,0.0007673220681891417,False,robust,7.558725671802939e-06,COMPLETE
