number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_scale_target,params_scaler,params_scaler_post_pca,params_weight_decay,state
0,371.5840592447916,2026-01-02 16:49:08.338720,2026-01-02 16:49:17.619075,0 days 00:00:09.280355,gelu,0.3697360720354653,6,5.023058441790649e-05,False,,minmax,3.9079267041533746e-06,COMPLETE
1,364.80379191080726,2026-01-02 16:49:17.629080,2026-01-02 16:49:24.904015,0 days 00:00:07.274935,mish,0.43389370634731217,4,0.00012068563598371108,False,,none,6.7796367108236165e-06,COMPLETE
2,200.62022399902344,2026-01-02 16:49:24.915015,2026-01-02 16:49:33.925271,0 days 00:00:09.010256,gelu,0.48382164662506455,64,0.00039374517640674585,True,,none,0.00022133102511358456,COMPLETE
3,340.82896226671005,2026-01-02 16:49:33.936793,2026-01-02 16:49:42.759710,0 days 00:00:08.822917,relu,0.1584671177597492,46,0.00014180233566538083,False,,none,1.6578323308797475e-06,COMPLETE
4,200.4600372314453,2026-01-02 16:49:42.768223,2026-01-02 16:49:50.994316,0 days 00:00:08.226093,silu,0.1878352719062491,22,0.0065983274289766036,True,,minmax,1.2343781962411445e-05,COMPLETE
5,371.968088921441,2026-01-02 16:49:51.002824,2026-01-02 16:49:58.707675,0 days 00:00:07.704851,silu,0.44200512317775487,9,6.171216903455718e-05,False,,minmax,0.00040282216747904983,COMPLETE
6,319.9034402126736,2026-01-02 16:49:58.717192,2026-01-02 16:50:06.315046,0 days 00:00:07.597854,relu,0.2707563171434917,12,0.0002765008841022193,False,,none,0.0002423026524970828,COMPLETE
7,220.4684295654297,2026-01-02 16:50:06.324557,2026-01-02 16:50:14.165795,0 days 00:00:07.841238,silu,0.25378890148628447,6,0.0012381249647209036,True,,none,1.5730756346669236e-06,COMPLETE
8,186.785888671875,2026-01-02 16:50:14.174308,2026-01-02 16:50:22.567138,0 days 00:00:08.392830,relu,0.3882042727611523,53,0.0157878824358996,True,,minmax,1.455738845544354e-06,COMPLETE
9,224.9434814453125,2026-01-02 16:50:22.575651,2026-01-02 16:50:30.664687,0 days 00:00:08.089036,mish,0.4748189231194462,17,0.0034097432614697432,True,,minmax,0.0007500681774520004,COMPLETE
10,185.2971954345703,2026-01-02 16:50:30.672195,2026-01-02 16:50:38.790044,0 days 00:00:08.117849,relu,0.3519102805057441,32,0.042029035860323825,True,,minmax,3.559703296243511e-05,COMPLETE
11,185.56378173828125,2026-01-02 16:50:38.798560,2026-01-02 16:50:46.872341,0 days 00:00:08.073781,relu,0.35571735614264455,30,0.05387515993887737,True,,minmax,5.422933524566049e-05,COMPLETE
12,184.7034454345703,2026-01-02 16:50:46.880856,2026-01-02 16:50:54.919545,0 days 00:00:08.038689,relu,0.3438266269213853,30,0.09291656394917447,True,,minmax,5.391047894879359e-05,COMPLETE
13,181.2157745361328,2026-01-02 16:50:54.928063,2026-01-02 16:51:03.039792,0 days 00:00:08.111729,relu,0.3143477248988766,36,0.09168261297642945,True,,minmax,5.1386200297628566e-05,COMPLETE
14,182.71054077148438,2026-01-02 16:51:03.047306,2026-01-02 16:51:11.144029,0 days 00:00:08.096723,relu,0.29785817470529513,34,0.09449694622324618,True,,minmax,8.961163681502314e-05,COMPLETE
15,185.16323852539062,2026-01-02 16:51:11.151542,2026-01-02 16:51:19.567275,0 days 00:00:08.415733,relu,0.2265834214585022,40,0.017613023432737667,True,,minmax,9.755396716174536e-05,COMPLETE
16,201.11500549316406,2026-01-02 16:51:19.574789,2026-01-02 16:51:27.464048,0 days 00:00:07.889259,relu,0.29602138279541196,18,0.021151131019920024,True,,minmax,1.5632697232721945e-05,COMPLETE
17,179.85646057128906,2026-01-02 16:51:27.473079,2026-01-02 16:51:36.054153,0 days 00:00:08.581074,gelu,0.1244549953773692,21,0.08551750533964471,True,,minmax,0.00013391249491292526,COMPLETE
