number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_n_layers,params_scale_target,params_scaler,params_weight_decay,state
0,174.56240844726562,2026-01-03 01:07:27.853418,2026-01-03 01:07:53.273589,0 days 00:00:25.420171,silu,0.28887463956209225,31,0.0364050387282162,1,True,none,1.5088426610095162e-05,COMPLETE
1,266.6578070746528,2026-01-03 01:07:53.283591,2026-01-03 01:08:17.037485,0 days 00:00:23.753894,relu,0.385850921208824,9,3.391250285741784e-05,1,False,none,0.0005979982138030138,COMPLETE
2,217.86914293077263,2026-01-03 01:08:17.045490,2026-01-03 01:08:42.319188,0 days 00:00:25.273698,silu,0.33921718907037657,8,0.0001731673336932338,2,False,none,8.834654254015959e-05,COMPLETE
3,216.78158569335938,2026-01-03 01:08:42.326189,2026-01-03 01:09:06.035365,0 days 00:00:23.709176,relu,0.35461692969862724,5,0.0019958758364021605,1,True,minmax,0.00038484455332862697,COMPLETE
4,207.4252166748047,2026-01-03 01:09:06.044364,2026-01-03 01:09:31.784590,0 days 00:00:25.740226,silu,0.1581377723224124,4,0.0018969379910747134,2,True,none,0.0004326162381243324,COMPLETE
5,195.51416015625,2026-01-03 01:09:31.792590,2026-01-03 01:09:56.744782,0 days 00:00:24.952192,gelu,0.1990700962203855,13,0.000440805619894658,1,True,standard,5.018158763551464e-05,COMPLETE
6,263.5629577636719,2026-01-03 01:09:56.751786,2026-01-03 01:10:22.691002,0 days 00:00:25.939216,relu,0.107562947900474,10,0.0001541577378120172,2,True,standard,1.6731386116239597e-06,COMPLETE
7,183.60458374023438,2026-01-03 01:10:22.712005,2026-01-03 01:10:50.580711,0 days 00:00:27.868706,gelu,0.31391602321434886,13,0.04161741976547407,2,True,robust,0.000620467641372572,COMPLETE
8,198.0513916015625,2026-01-03 01:10:50.588711,2026-01-03 01:11:16.884947,0 days 00:00:26.296236,mish,0.21843774577823935,10,0.01009675002200153,2,True,minmax,2.0030290133090068e-06,COMPLETE
9,337.5393459065755,2026-01-03 01:11:16.892947,2026-01-03 01:11:39.985619,0 days 00:00:23.092672,silu,0.13957033728229506,14,1.2868105485753744e-05,1,False,none,1.3220853380980187e-05,COMPLETE
10,355.62784640842017,2026-01-03 01:11:39.993619,2026-01-03 01:12:03.768316,0 days 00:00:23.774697,mish,0.46732079979209135,32,4.955437637840368e-05,1,False,robust,1.0493362130779932e-05,COMPLETE
11,162.01815795898438,2026-01-03 01:12:03.776319,2026-01-03 01:12:32.372038,0 days 00:00:28.595719,gelu,0.2685463134774318,29,0.09203852772410084,2,True,robust,1.0578077980219151e-05,COMPLETE
12,172.90834045410156,2026-01-03 01:12:32.380038,2026-01-03 01:12:57.624230,0 days 00:00:25.244192,gelu,0.25720404887140524,31,0.09692557440441187,1,True,robust,7.121107996045231e-06,COMPLETE
13,167.2569580078125,2026-01-03 01:12:57.632233,2026-01-03 01:13:25.950935,0 days 00:00:28.318702,gelu,0.24742616025407604,21,0.08861749295913475,2,True,robust,3.714573214434724e-06,COMPLETE
14,182.93609619140625,2026-01-03 01:13:25.957936,2026-01-03 01:13:54.152657,0 days 00:00:28.194721,gelu,0.23565685025422142,21,0.01066586111160052,2,True,robust,3.984292079540415e-06,COMPLETE
15,179.48416137695312,2026-01-03 01:13:54.160657,2026-01-03 01:14:22.582421,0 days 00:00:28.421764,gelu,0.43018230049295547,20,0.08807169413463661,2,True,robust,4.209970564680035e-06,COMPLETE
16,181.92257690429688,2026-01-03 01:14:22.590421,2026-01-03 01:14:50.927141,0 days 00:00:28.336720,gelu,0.2722451719235101,21,0.01384297086806499,2,True,robust,2.9486840361240964e-05,COMPLETE
17,177.77207946777344,2026-01-03 01:14:50.935140,2026-01-03 01:15:19.431879,0 days 00:00:28.496739,gelu,0.19384635607862,24,0.029904389514302278,2,True,robust,1.0910019416804575e-06,COMPLETE
18,206.08616956922742,2026-01-03 01:15:19.440882,2026-01-03 01:15:46.672083,0 days 00:00:27.231201,gelu,0.395045670618958,16,0.0005982938302624566,2,False,robust,0.00011423276553629352,COMPLETE
19,198.30604553222656,2026-01-03 01:15:46.680085,2026-01-03 01:16:13.732813,0 days 00:00:27.052728,mish,0.30811212502715274,24,0.005479406599269112,2,True,minmax,4.574382872943069e-06,COMPLETE
20,188.8004913330078,2026-01-03 01:16:13.740815,2026-01-03 01:16:41.651017,0 days 00:00:27.910202,gelu,0.2518376705451516,7,0.020812580084974032,2,True,standard,2.855808732907607e-05,COMPLETE
21,171.04090881347656,2026-01-03 01:16:41.660019,2026-01-03 01:17:06.809702,0 days 00:00:25.149683,gelu,0.26101687082642333,27,0.08735262696573459,1,True,robust,6.171563293490152e-06,COMPLETE
22,173.63064575195312,2026-01-03 01:17:06.817701,2026-01-03 01:17:31.717421,0 days 00:00:24.899720,gelu,0.17236735084567087,26,0.05674373139523627,1,True,robust,2.6944849604324834e-06,COMPLETE
23,169.60015869140625,2026-01-03 01:17:31.725420,2026-01-03 01:17:59.826110,0 days 00:00:28.100690,gelu,0.2259878018902967,17,0.06405924788035804,2,True,robust,7.121981790775302e-06,COMPLETE
24,173.7549285888672,2026-01-03 01:17:59.834110,2026-01-03 01:18:27.933856,0 days 00:00:28.099746,gelu,0.21342512635875427,18,0.05421896677559838,2,True,robust,1.8604125362312758e-05,COMPLETE
25,186.1940155029297,2026-01-03 01:18:27.940855,2026-01-03 01:18:55.760578,0 days 00:00:27.819723,gelu,0.33274690054558553,16,0.02135728745569925,2,True,robust,2.7349476114746615e-06,COMPLETE
