number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_n_layers,params_scale_target,params_scaler,params_weight_decay,state
0,190.5194549560547,2026-01-03 18:23:23.896456,2026-01-03 18:23:33.649016,0 days 00:00:09.752560,gelu,0.48717507844762753,13,0.038372250384464505,2,True,standard,2.1057249878584985e-06,COMPLETE
1,341.612545437283,2026-01-03 18:23:33.660017,2026-01-03 18:23:42.181694,0 days 00:00:08.521677,gelu,0.4086120782270629,10,5.924900895684408e-05,2,False,none,1.95852103415482e-06,COMPLETE
2,176.7728271484375,2026-01-03 18:23:42.189702,2026-01-03 18:23:49.719658,0 days 00:00:07.529956,gelu,0.1426556315817865,29,0.049679502200920225,1,True,minmax,0.00023167456801701227,COMPLETE
3,293.7834789360894,2026-01-03 18:23:49.731658,2026-01-03 18:23:56.500079,0 days 00:00:06.768421,gelu,0.2346751283056655,5,0.00035885270995245864,1,False,robust,1.0098055438468925e-06,COMPLETE
4,196.26016235351562,2026-01-03 18:23:56.674607,2026-01-03 18:24:04.308746,0 days 00:00:07.634139,gelu,0.2331773026489241,30,0.015899274064496316,1,True,minmax,3.238951290955007e-06,COMPLETE
5,192.77386474609375,2026-01-03 18:24:04.318749,2026-01-03 18:24:11.610924,0 days 00:00:07.292175,mish,0.44089623094964747,32,0.0017298577019442516,1,True,standard,0.00023161189605410562,COMPLETE
6,176.80697631835938,2026-01-03 18:24:11.622440,2026-01-03 18:24:18.775614,0 days 00:00:07.153174,silu,0.13283840372544686,9,0.08377041908086573,2,True,none,7.963341879121187e-06,COMPLETE
7,283.5393981933594,2026-01-03 18:24:18.786638,2026-01-03 18:24:27.564841,0 days 00:00:08.778203,gelu,0.28242821915918326,5,0.00011887384217733469,2,True,none,7.302784709361377e-06,COMPLETE
8,198.84426879882812,2026-01-03 18:24:27.573349,2026-01-03 18:24:33.951148,0 days 00:00:06.377799,silu,0.32395042273212615,14,0.0025439341645457393,1,True,minmax,9.961342791921566e-06,COMPLETE
9,241.93363240559893,2026-01-03 18:24:33.959662,2026-01-03 18:24:41.291691,0 days 00:00:07.332029,silu,0.4965103536992248,23,0.0005706327073976341,2,False,robust,0.0008983087251239809,COMPLETE
10,371.58371270073786,2026-01-03 18:24:41.300208,2026-01-03 18:24:47.090508,0 days 00:00:05.790300,relu,0.10050032209455356,19,1.285199010540008e-05,1,False,minmax,8.575113571596447e-05,COMPLETE
11,173.58343505859375,2026-01-03 18:24:47.098019,2026-01-03 18:24:54.071576,0 days 00:00:06.973557,silu,0.1006090126210977,9,0.06879659105065929,2,True,none,4.0900894683612215e-05,COMPLETE
12,199.46722412109375,2026-01-03 18:24:54.080087,2026-01-03 18:25:00.465554,0 days 00:00:06.385467,relu,0.1747941281631461,7,0.013678096151991457,1,True,minmax,4.446720509925644e-05,COMPLETE
13,193.41917419433594,2026-01-03 18:25:00.474068,2026-01-03 18:25:07.739720,0 days 00:00:07.265652,mish,0.17580684740535674,7,0.010453453605861224,2,True,none,0.00023022272013657437,COMPLETE
14,177.23475646972656,2026-01-03 18:25:07.919963,2026-01-03 18:25:14.115218,0 days 00:00:06.195255,silu,0.1006966878104113,17,0.06943970739671644,1,True,none,0.00018897399100253564,COMPLETE
15,198.08209228515625,2026-01-03 18:25:14.123733,2026-01-03 18:25:21.318802,0 days 00:00:07.195069,silu,0.17855914254976732,7,0.027462644883874326,2,True,minmax,2.7639336733926598e-05,COMPLETE
16,200.08070373535156,2026-01-03 18:25:21.326314,2026-01-03 18:25:27.107370,0 days 00:00:05.781056,mish,0.3143732868472178,4,0.005616196825909345,1,True,robust,0.0008960139496064163,COMPLETE
17,180.94822692871094,2026-01-03 18:25:27.115893,2026-01-03 18:25:33.942046,0 days 00:00:06.826153,relu,0.23018118937702536,12,0.035678360497035065,2,True,standard,8.333341726564849e-05,COMPLETE
18,356.9904998101128,2026-01-03 18:25:33.949570,2026-01-03 18:25:41.298707,0 days 00:00:07.349137,silu,0.1416185109680644,23,1.502051393987781e-05,2,False,none,2.3775521637924653e-05,COMPLETE
19,200.13137817382812,2026-01-03 18:25:41.306220,2026-01-03 18:25:48.283309,0 days 00:00:06.977089,gelu,0.34494275306497973,8,0.005596299217934282,1,True,minmax,0.00043443102796751143,COMPLETE
20,175.6865997314453,2026-01-03 18:25:48.292823,2026-01-03 18:25:56.259554,0 days 00:00:07.966731,gelu,0.2699836795654271,16,0.08268941331750748,1,True,minmax,9.152196905005684e-05,COMPLETE
21,174.76974487304688,2026-01-03 18:25:56.270602,2026-01-03 18:26:03.800709,0 days 00:00:07.530107,gelu,0.27078109135825323,18,0.09908846144094964,1,True,minmax,9.440653112668495e-05,COMPLETE
22,176.81820678710938,2026-01-03 18:26:03.810735,2026-01-03 18:26:10.725565,0 days 00:00:06.914830,gelu,0.26760433525886407,16,0.09334541692451344,1,True,minmax,5.8958466474052074e-05,COMPLETE
23,195.55050659179688,2026-01-03 18:26:10.734085,2026-01-03 18:26:17.620073,0 days 00:00:06.885988,gelu,0.3484156078351024,22,0.02571847876749947,1,True,minmax,0.00012138600093012121,COMPLETE
24,186.1536407470703,2026-01-03 18:26:17.627585,2026-01-03 18:26:24.409077,0 days 00:00:06.781492,gelu,0.37920784799215246,11,0.05665918388384787,1,True,minmax,1.5875888618731116e-05,COMPLETE
25,186.99107360839844,2026-01-03 18:26:24.418599,2026-01-03 18:26:30.817103,0 days 00:00:06.398504,silu,0.26183847362156243,15,0.09804521566552449,1,True,none,4.859776838945764e-05,COMPLETE
26,219.23638075086805,2026-01-03 18:26:30.825623,2026-01-03 18:26:37.938882,0 days 00:00:07.113259,relu,0.20307102045319153,20,0.0008054395200082468,2,False,robust,0.00010566895289359444,COMPLETE
27,176.97586059570312,2026-01-03 18:26:37.946398,2026-01-03 18:26:44.270618,0 days 00:00:06.324220,mish,0.3032861548961091,9,0.023303631442812382,1,True,standard,0.0003975408928148916,COMPLETE
28,201.66897583007812,2026-01-03 18:26:44.278638,2026-01-03 18:26:52.533235,0 days 00:00:08.254597,gelu,0.38014652905788077,12,0.008066914819968166,2,True,minmax,1.4444326152872885e-05,COMPLETE
29,172.27783203125,2026-01-03 18:26:52.540246,2026-01-03 18:26:59.422478,0 days 00:00:06.882232,gelu,0.45159618929470857,26,0.04026486621645695,1,True,standard,4.1186302507910196e-05,COMPLETE
30,179.57275390625,2026-01-03 18:26:59.430481,2026-01-03 18:27:07.132034,0 days 00:00:07.701553,silu,0.4537742766989117,28,0.04132610606954375,2,True,standard,3.827333239786553e-05,COMPLETE
31,172.15243530273438,2026-01-03 18:27:07.140047,2026-01-03 18:27:13.926199,0 days 00:00:06.786152,gelu,0.46276998330003893,25,0.051379181994378485,1,True,standard,0.00013809049154656558,COMPLETE
32,173.50942993164062,2026-01-03 18:27:13.933714,2026-01-03 18:27:20.800169,0 days 00:00:06.866455,gelu,0.46320757246656546,26,0.03935346314925561,1,True,standard,0.0001349168944948928,COMPLETE
33,174.612548828125,2026-01-03 18:27:20.808684,2026-01-03 18:27:27.757222,0 days 00:00:06.948538,gelu,0.44268627585614406,26,0.018796673621316137,1,True,standard,0.00015525341705218592,COMPLETE
34,200.7356557888455,2026-01-03 18:27:27.766745,2026-01-03 18:27:34.183745,0 days 00:00:06.417000,gelu,0.47541876986347165,24,0.0008523414380778842,1,False,standard,0.00045802699788101853,COMPLETE
35,173.07676696777344,2026-01-03 18:27:34.192251,2026-01-03 18:27:41.090056,0 days 00:00:06.897805,gelu,0.41007819124816747,27,0.04098630265711371,1,True,standard,6.38523274343135e-05,COMPLETE
36,172.9268798828125,2026-01-03 18:27:41.099575,2026-01-03 18:27:47.923193,0 days 00:00:06.823618,gelu,0.41429202915627733,27,0.03757513043748356,1,True,standard,6.42346088369681e-05,COMPLETE
37,170.4734649658203,2026-01-03 18:27:47.932705,2026-01-03 18:27:54.848123,0 days 00:00:06.915418,gelu,0.41598708034575604,32,0.052758337683037976,1,True,standard,6.178216578221692e-05,COMPLETE
38,198.61625291612413,2026-01-03 18:27:54.857147,2026-01-03 18:28:01.364782,0 days 00:00:06.507635,gelu,0.41735077021475514,32,0.0008659033685527796,1,False,standard,2.5607140925722915e-05,COMPLETE
39,176.2034454345703,2026-01-03 18:28:01.375301,2026-01-03 18:28:08.225794,0 days 00:00:06.850493,gelu,0.39347618202070267,21,0.018232970579540257,1,True,standard,3.152064723070448e-06,COMPLETE
40,170.87741088867188,2026-01-03 18:28:08.233311,2026-01-03 18:28:15.151386,0 days 00:00:06.918075,gelu,0.43418277239240394,32,0.054620485155672,1,True,standard,1.6521916219920743e-05,COMPLETE
41,171.65829467773438,2026-01-03 18:28:15.160900,2026-01-03 18:28:22.036408,0 days 00:00:06.875508,gelu,0.4296332133399078,30,0.05138286345185787,1,True,standard,1.6370219106701946e-05,COMPLETE
42,171.34815979003906,2026-01-03 18:28:22.043925,2026-01-03 18:28:28.948601,0 days 00:00:06.904676,gelu,0.4337569502385562,32,0.05491609932506888,1,True,standard,1.6719931385382085e-05,COMPLETE
43,170.7571563720703,2026-01-03 18:28:28.957122,2026-01-03 18:28:35.927827,0 days 00:00:06.970705,gelu,0.4294373527413772,30,0.058442103061198486,1,True,standard,1.550200166177063e-05,COMPLETE
44,170.5629425048828,2026-01-03 18:28:35.936347,2026-01-03 18:28:42.791640,0 days 00:00:06.855293,gelu,0.42753091924561043,30,0.06231011187010315,1,True,standard,6.151712290136227e-06,COMPLETE
45,175.66563415527344,2026-01-03 18:28:42.799649,2026-01-03 18:28:49.723191,0 days 00:00:06.923542,gelu,0.47963286464219124,31,0.027569862978904833,1,True,standard,5.820997148909258e-06,COMPLETE
46,170.90237426757812,2026-01-03 18:28:49.732707,2026-01-03 18:28:56.518493,0 days 00:00:06.785786,gelu,0.3934750098280896,32,0.06351831277459295,1,True,standard,4.2642565441073825e-06,COMPLETE
47,198.2980006917318,2026-01-03 18:28:56.527012,2026-01-03 18:29:02.836925,0 days 00:00:06.309913,mish,0.3588272370480743,29,0.0009009254419915444,1,False,standard,4.5433448522418955e-06,COMPLETE
48,177.8310089111328,2026-01-03 18:29:02.845439,2026-01-03 18:29:09.631099,0 days 00:00:06.785660,gelu,0.3697047588739863,23,0.012139964492188316,1,True,standard,9.552640431385391e-06,COMPLETE
49,173.96200561523438,2026-01-03 18:29:09.639110,2026-01-03 18:29:16.037633,0 days 00:00:06.398523,relu,0.4948003380207676,29,0.07408721343174993,1,True,robust,1.7144345985162954e-06,COMPLETE
50,171.4901885986328,2026-01-03 18:29:16.047146,2026-01-03 18:29:22.873460,0 days 00:00:06.826314,gelu,0.39638575771254253,20,0.06844085870820116,1,True,standard,3.0019080052221015e-06,COMPLETE
51,170.40318298339844,2026-01-03 18:29:22.880967,2026-01-03 18:29:29.701529,0 days 00:00:06.820562,gelu,0.42986892576758723,32,0.0561853535183808,1,True,standard,1.1521005081967355e-05,COMPLETE
52,170.4088592529297,2026-01-03 18:29:29.709533,2026-01-03 18:29:36.600770,0 days 00:00:06.891237,gelu,0.42441089579522157,32,0.06115348953133941,1,True,standard,1.1274648364467474e-05,COMPLETE
53,173.0665283203125,2026-01-03 18:29:36.609784,2026-01-03 18:29:43.496151,0 days 00:00:06.886367,gelu,0.425018671234801,29,0.0312507090220361,1,True,standard,1.076769666279853e-05,COMPLETE
54,175.5052032470703,2026-01-03 18:29:43.505667,2026-01-03 18:29:50.431807,0 days 00:00:06.926140,gelu,0.40247513471750784,28,0.023160698964009362,1,True,standard,2.1487279776481807e-05,COMPLETE
55,190.54600524902344,2026-01-03 18:29:50.441321,2026-01-03 18:29:57.732408,0 days 00:00:07.291087,gelu,0.4437660531932893,25,0.0020073516893597703,1,True,standard,7.2726159548995775e-06,COMPLETE
56,174.54067993164062,2026-01-03 18:29:57.740923,2026-01-03 18:30:04.411994,0 days 00:00:06.671071,mish,0.4694170340973852,32,0.047617093462713624,1,True,standard,1.1618478463170935e-05,COMPLETE
57,170.09620666503906,2026-01-03 18:30:04.420501,2026-01-03 18:30:11.318737,0 days 00:00:06.898236,gelu,0.33275841172864334,22,0.07300979721278866,1,True,standard,6.556057383530346e-06,COMPLETE
58,172.4490203857422,2026-01-03 18:30:11.327758,2026-01-03 18:30:17.732083,0 days 00:00:06.404325,relu,0.3315276467700894,22,0.07865128277195271,1,True,robust,6.665919710668744e-06,COMPLETE
59,211.86136128743493,2026-01-03 18:30:17.743123,2026-01-03 18:30:24.175978,0 days 00:00:06.432855,gelu,0.38014882936939276,6,0.0009378002705531884,1,False,standard,4.931119086730842e-06,COMPLETE
