number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_gaussian_noise,params_hidden_size,params_lr,params_scale_target,params_scaler,params_weight_decay,state
0,,2026-01-20 18:37:58.638381,2026-01-20 18:37:58.656693,0 days 00:00:00.018312,,,0.026251844988885942,,,False,robust,,FAIL
1,372.1919250488281,2026-01-20 18:39:15.099694,2026-01-20 18:39:18.620846,0 days 00:00:03.521152,mish,0.32875949481966327,0.08470045861753323,13.0,3.667350773738443e-05,False,none,0.00010311740973620704,COMPLETE
2,373.6625439453125,2026-01-20 18:39:18.626422,2026-01-20 18:39:21.036329,0 days 00:00:02.409907,gelu,0.16563554572700037,0.016201946156033088,12.0,1.1990789286803655e-05,False,none,2.2478228547939236e-06,COMPLETE
3,258.05195068359376,2026-01-20 18:39:21.040602,2026-01-20 18:39:23.806125,0 days 00:00:02.765523,silu,0.2731809146309582,0.07471238922739387,7.0,0.00042834843192731943,False,none,6.107649792336591e-06,COMPLETE
4,362.0908264160156,2026-01-20 18:39:23.811184,2026-01-20 18:39:26.242716,0 days 00:00:02.431532,relu,0.14998818847365789,0.05111223227203804,16.0,0.00022729822570615325,False,standard,0.0003001245133835162,COMPLETE
5,236.3846893310547,2026-01-20 18:39:26.246794,2026-01-20 18:39:28.799060,0 days 00:00:02.552266,gelu,0.4006336462707335,0.009065989105879057,4.0,0.0795457836155197,True,none,3.0773744585725543e-06,COMPLETE
6,237.3006134033203,2026-01-20 18:39:28.803060,2026-01-20 18:39:31.409026,0 days 00:00:02.605966,silu,0.32092404341947095,0.004709985689586638,4.0,0.011291977373790287,True,none,1.0638349464789078e-06,COMPLETE
7,208.26345825195312,2026-01-20 18:39:31.412937,2026-01-20 18:39:33.865260,0 days 00:00:02.452323,silu,0.30695816921752445,0.06973076665625279,4.0,0.04021681440080097,True,standard,1.7390452751409525e-05,COMPLETE
8,260.5950622558594,2026-01-20 18:39:33.869342,2026-01-20 18:39:36.357668,0 days 00:00:02.488326,relu,0.4631823104626267,0.05559758564126738,12.0,0.0020152286006977814,True,standard,5.748456830484368e-06,COMPLETE
9,321.2084033203125,2026-01-20 18:39:36.361758,2026-01-20 18:39:38.874493,0 days 00:00:02.512735,gelu,0.4394893070899051,0.0515477948433477,4.0,0.0005255385145689816,False,none,2.562684118509102e-06,COMPLETE
10,376.6070825195312,2026-01-20 18:39:38.880009,2026-01-20 18:39:41.711238,0 days 00:00:02.831229,silu,0.10514656601890633,0.07349565873218812,4.0,9.552610902665559e-05,False,robust,5.493951000534974e-06,COMPLETE
11,203.8275604248047,2026-01-20 18:39:41.717205,2026-01-20 18:39:44.312020,0 days 00:00:02.594815,mish,0.22833403450814696,0.09863792172537403,6.0,0.0972222060738188,True,minmax,2.9561366813118444e-05,COMPLETE
12,203.73971557617188,2026-01-20 18:39:44.316351,2026-01-20 18:39:46.879985,0 days 00:00:02.563634,mish,0.2342374729289943,0.0985512312174427,6.0,0.07617097153637063,True,minmax,3.183713190121568e-05,COMPLETE
13,205.8117218017578,2026-01-20 18:39:46.883882,2026-01-20 18:39:49.532649,0 days 00:00:02.648767,mish,0.22043893830058459,0.09988963544113225,6.0,0.01730581104830452,True,minmax,4.099141624490351e-05,COMPLETE
14,203.6244659423828,2026-01-20 18:39:49.536590,2026-01-20 18:39:52.167235,0 days 00:00:02.630645,mish,0.22959482735442174,0.09993809856851026,6.0,0.06776339526015515,True,minmax,2.9641210097695344e-05,COMPLETE
15,204.4346466064453,2026-01-20 18:39:52.170714,2026-01-20 18:39:54.914130,0 days 00:00:02.743416,mish,0.2327512799921122,0.029518184654940376,9.0,0.009251720249115851,True,minmax,0.000869101417151331,COMPLETE
16,343.27081298828125,2026-01-20 18:39:54.919084,2026-01-20 18:39:57.492168,0 days 00:00:02.573084,mish,0.3864424138315318,0.08696017422557839,5.0,0.003383666744210051,True,minmax,7.634684681632849e-05,COMPLETE
17,202.17457580566406,2026-01-20 18:39:57.495747,2026-01-20 18:40:00.075368,0 days 00:00:02.579621,mish,0.19350563859722614,0.034475517875197995,9.0,0.04688329259162274,True,minmax,1.7751304232261176e-05,COMPLETE
18,202.43923950195312,2026-01-20 18:40:00.080327,2026-01-20 18:40:02.667942,0 days 00:00:02.587615,mish,0.17671625944054553,0.035397389448456926,8.0,0.02842690802691552,True,robust,1.2291237741425894e-05,COMPLETE
19,202.8643035888672,2026-01-20 18:40:02.671855,2026-01-20 18:40:05.474538,0 days 00:00:02.802683,mish,0.1678797515446021,0.03293101915023443,9.0,0.0259747415286737,True,robust,1.2160181347207378e-05,COMPLETE
20,208.76022338867188,2026-01-20 18:40:05.479019,2026-01-20 18:40:08.002415,0 days 00:00:02.523396,relu,0.10674760893445707,0.03609846454392342,9.0,0.0035175220112402855,True,robust,1.139783911983789e-05,COMPLETE
21,203.9827880859375,2026-01-20 18:40:08.006307,2026-01-20 18:40:10.719478,0 days 00:00:02.713171,mish,0.17599005603133852,0.02262307474974434,8.0,0.008799444811905801,True,robust,8.67501492830613e-05,COMPLETE
22,201.81344604492188,2026-01-20 18:40:10.723158,2026-01-20 18:40:13.679838,0 days 00:00:02.956680,mish,0.14375460719653083,0.03859763024575939,10.0,0.027070198686141887,True,robust,1.4495403921795814e-05,COMPLETE
23,202.50180053710938,2026-01-20 18:40:13.684846,2026-01-20 18:40:16.591247,0 days 00:00:02.906401,mish,0.1934261776531839,0.04133775830108888,10.0,0.030679220827660867,True,robust,1.5572141255839697e-05,COMPLETE
24,202.07284545898438,2026-01-20 18:40:16.595792,2026-01-20 18:40:19.391848,0 days 00:00:02.796056,mish,0.13129597261506504,0.04136231949191252,10.0,0.016547614692255717,True,robust,7.90185320636032e-06,COMPLETE
25,202.10568237304688,2026-01-20 18:40:19.396896,2026-01-20 18:40:22.220553,0 days 00:00:02.823657,mish,0.13620827940025437,0.06078136396300361,11.0,0.015530840821065895,True,robust,7.482900635025915e-06,COMPLETE
26,202.77688598632812,2026-01-20 18:40:22.224905,2026-01-20 18:40:25.284077,0 days 00:00:03.059172,mish,0.12938004911074827,0.0597093124649334,11.0,0.005570486343222259,True,robust,7.072237371590422e-06,COMPLETE
27,201.27784729003906,2026-01-20 18:40:25.288573,2026-01-20 18:40:28.273151,0 days 00:00:02.984578,mish,0.13460163574318296,0.044549692609289405,15.0,0.020095688714413605,True,robust,1.2978716156779655e-06,COMPLETE
28,205.05209350585938,2026-01-20 18:40:28.278105,2026-01-20 18:40:30.813159,0 days 00:00:02.535054,relu,0.267046489480935,0.04744995630737303,16.0,0.018313988143730538,True,robust,1.096487016637294e-06,COMPLETE
29,330.69573974609375,2026-01-20 18:40:30.816998,2026-01-20 18:40:33.545170,0 days 00:00:02.728172,gelu,0.12763976878309574,0.02135539417256362,14.0,0.001226814201332962,True,robust,1.755645127417566e-06,COMPLETE
30,296.41361938476564,2026-01-20 18:40:33.548992,2026-01-20 18:40:36.142363,0 days 00:00:02.593371,mish,0.36284273263692735,0.04525461636725268,13.0,0.0006627518374385602,False,robust,3.5270497961208674e-06,COMPLETE
31,202.76052856445312,2026-01-20 18:40:36.146304,2026-01-20 18:40:38.967165,0 days 00:00:02.820861,mish,0.26352296299069905,0.026336866127841297,14.0,0.007666458940751565,True,robust,6.098980035072723e-05,COMPLETE
32,200.3863983154297,2026-01-20 18:40:38.971344,2026-01-20 18:40:42.049242,0 days 00:00:03.077898,mish,0.13363738041608278,0.06254265141370817,11.0,0.01608005009022984,True,robust,3.6439509816912726e-06,COMPLETE
33,202.46368408203125,2026-01-20 18:40:42.053822,2026-01-20 18:40:44.742906,0 days 00:00:02.689084,mish,0.10520422851908401,0.04202939511248256,10.0,0.00599710641959717,True,robust,1.6510574724604728e-06,COMPLETE
34,202.04266357421875,2026-01-20 18:40:44.749127,2026-01-20 18:40:47.428882,0 days 00:00:02.679755,mish,0.14349300945713833,0.06586681810903704,11.0,0.013880073365554703,True,robust,4.010190010383049e-06,COMPLETE
35,376.7958361816406,2026-01-20 18:40:47.433006,2026-01-20 18:40:50.079316,0 days 00:00:02.646310,mish,0.14791549635736476,0.06637093585114799,12.0,1.2309381833985198e-05,False,robust,3.97747144161637e-06,COMPLETE
36,182.35037231445312,2026-01-20 18:40:50.083428,2026-01-20 18:40:52.666075,0 days 00:00:02.582647,gelu,0.1555572505395889,0.08244929802378692,14.0,0.049975318865923,True,standard,1.7621053040807807e-06,COMPLETE
37,269.05463134765625,2026-01-20 18:40:52.670137,2026-01-20 18:40:55.139023,0 days 00:00:02.468886,gelu,0.19889597551814603,0.08067356425593998,14.0,0.0008225412051235044,False,standard,1.8018526308564197e-06,COMPLETE
38,181.3127899169922,2026-01-20 18:40:55.143323,2026-01-20 18:40:57.763563,0 days 00:00:02.620240,gelu,0.16902479571991447,0.08087122922727454,16.0,0.041653407324878454,True,standard,1.2555280024100692e-06,COMPLETE
39,180.31954956054688,2026-01-20 18:40:57.767691,2026-01-20 18:41:00.368475,0 days 00:00:02.600784,gelu,0.1649392504589095,0.08874111108994762,16.0,0.056194618623453554,True,standard,1.040972699691382e-06,COMPLETE
40,363.01202880859375,2026-01-20 18:41:00.372626,2026-01-20 18:41:02.863009,0 days 00:00:02.490383,gelu,0.20441961620151997,0.08973188844554819,16.0,0.0002817328331999465,False,standard,2.4756685614085046e-06,COMPLETE
41,189.2879180908203,2026-01-20 18:41:02.867350,2026-01-20 18:41:05.439195,0 days 00:00:02.571845,gelu,0.2907519975299856,0.07958457414972636,13.0,0.047676788942134896,True,standard,1.0294256903225921e-06,COMPLETE
